Date Created,Number of Likes,Source of Tweet,Tweets
2023-02-13 08:30:16+00:00,88,Swat.io,"Wer hilft bei Rückenschmerzen?
Pascal von der @hauptstadt_kv  erklärt den Werdegang.
Übrigens: Der Bereitschaftsarzt der KV Berlin kann auch Rezepte ausstellen und Notfallapotheken, die rund um die Uhr geöffnet sind, gibt es in jedem Bezirk.
#DierichtigeNummerimrichtigenMoment https://t.co/XP9pPEA1Zz"
2023-02-12 15:07:25+00:00,134,Twitter for iPhone,"Im #Teterower_Ring in #Hellersdorf kam es zum #Brand in einer Wohnung im 4.OG eines Mehrfamilienhauses. Eine Person notärztlich versorgt und ins Krankenhaus gebracht. Wir waren mit 26 Kräften vor Ort und setzten u.a. 1 C-Rohr, 2 Atemschutzgeräte und 1 Drucklüfter ein.
#EstuK"
2023-02-12 05:24:47+00:00,121,Twitter for iPhone,"Im #Dirschelweg in #Mariendorf kam es heute Nacht zu einem #Brand in der Küche einer Wohnung eines Mehrfamilienhauses. Wir löschten das Feuer und setzten u.a. 1 C-Rohr, 4 Atemschutzgeräte und 1 Drucklüfter ein. Verletzt wurde niemand. Wir waren mit 20 Kräften vor Ort.
#EstuK"
2023-02-12 05:16:30+00:00,158,Twitter for iPhone,"In der Nacht kam es zu einem #Verkehrsunfall im Bereich #Kronprinzessinenweg Ecke #Havelchaussee in #Nikolassee, bei dem sich ein #Pkw überschlug und auf dem Dach liegen blieb. Die vier Insassen wurden schwer verletzt und nach notärztlicher Versorgung in Krankenhäuser gebracht."
2023-02-11 20:09:27+00:00,110,Twitter for iPhone,"Wir konnten die Leckage schnell beheben. Zum Einsatz kam dabei unser #Technischer_Dienst mit seinen Spezialkräften, die durch einen #Chemikalienschutzanzug geschützt waren. Zum Abschluss war eine Spotdekon ausreichend. Vor Ort waren wir mit 71 Kräften.
#EstuK #112live #112Berlin https://t.co/96E3swqjHu"
2023-02-11 19:00:00+00:00,619,Twitter for iPad,"Nach 12 Stunden beenden wir das #TwitterGewitter2023. Während dieser Zeit hat unsere #Leitstelle fast 850 Alarme angelegt. Wir haben dazu fast 400 Tweets für euch abgesetzt. Stab Kommunikation der Berliner Feuerwehr. Ohne Quittung, Ende. #112live #Berlin112"
2023-02-11 18:54:56+00:00,84,Twitter for iPhone,"Eine Person ist in #Mitte von der Treppe gestürzt. Ein #RTW ist bereits auf dem Weg. 
#112live #Berlin112"
2023-02-11 18:52:06+00:00,82,Twitter for iPhone,"In #Prenzlauer_Berg ist ein Aufzug stecken geblieben. Ein #LHF macht sich auf dem Weg zum Einsatzort. 

#112live #Berlin112"
2023-02-11 18:51:12+00:00,69,Twitter for Android,"In #Baumschulenweg klagt eine Person über plötzlich einsetzende starke Brustschmerzen. Ein #RTW der FW Treptow und eine #NEF aus Neukölln sind alarmiert.

 #112live #Berlin112"
2023-02-11 18:45:55+00:00,66,Twitter for iPad,Verletzte Person nach Körperverletzung in #Charlottenburg. Ein #RTW trifft gleich ein. #112live #Berlin112
2023-02-11 18:37:58+00:00,110,Twitter for Android,"Durch den Austritt von #Gefahrgut in dem Werk werden jetzt rund 70 Kräfte mit 20 Fahrzeugen nach #Haselhorst alarmiert, darunter auch diverse Sonderfahrzeuge des #Technischen_Dienst. 
Weitere Infos folgen ... 

#112live #Berlin112"
2023-02-11 18:36:24+00:00,544,Twitter for Android,"Im Juni 2009 wurde hier der erste Tweet gesendet. Dies ist nun Tweet Nummer 10.000 🎉

Vielen Dank an alle, die uns hier treu folgen und einen großen Dank an all unsere ehrenamtlichen und hauptamtlichen Kräfte, die jeden Tag in Berlin für eure Sicherheit sorgen❣️ https://t.co/5wrnCnZFiB"
2023-02-11 18:35:17+00:00,91,Twitter for iPhone,"In #Friedrichshain kam es zu einem Medizinischen Notfall mit einer Bewusstseinsstörung. Wir sind mit dem #NEF der FW Urban und dem #RTW der @JUHBerlin vor Ort.
#112live #Berlin112 https://t.co/ujGguFIa40"
2023-02-11 18:34:13+00:00,61,Twitter for iPad,"Vergiftung in #Prenzlauerberg mit #Bewusstseinstrübung. Eine weibliche Person hat laut Meldung eine #Medikamentenüberdosis. Der #RTW von der #FW_Friedrichshain ist auf dem Weg.

#112live #Berlin112"
2023-02-11 18:33:55+00:00,50,Twitter for iPad,Über #Brustschmerz klagt eine weibliche Person in #Köpenick. Ein #RTW und ein #NEF sind bereits auf der Anfahrt. #112live #Berlin112
2023-02-11 18:32:55+00:00,53,Twitter for iPhone,"In #Wilmersdorf wurde eine Person von einem Fahrzeug angefahren und verletzt. Ein #RTW und ein #NEF sind auf dem Weg.
#112live #Berlin112"
2023-02-11 18:30:43+00:00,64,Twitter for iPad,Wasserschaden in #Friedrichshain. Defektes Heizungsrohr flutet Wohnung im 3.OG. Unser #LHF der #Feuerwache_Friedrichshain rückt aus. #112live #Berlin112
2023-02-11 18:28:45+00:00,53,Twitter for iPad,"Eine männliche Person  klagt über #Brustschmerzen und #Atembeschwerden in #Marzahn. Der #RTW der #FW_Marzahn ist unterwegs.

#112live #Berlin112"
2023-02-11 18:27:37+00:00,61,Twitter for iPad,Uns erwartet die Polizei zu einer verletzten Person nach Schlägerei in #Gesundbrunnen. Wir rücken aus. #112live #Berlin112
2023-02-11 18:26:10+00:00,53,Twitter for iPad,Weibliche Person mit Atemnot in #Zehlendorf. Ein #RTW und ein #NEF eilen zur Hilfe. #112live #Berlin112
2023-02-11 18:25:45+00:00,66,Twitter for iPad,"In #Lichtenberg hat sich in einem Krankenhaus ein Patient seinen Arm in einer Gehhilfe eingeklemmt und kommt nicht mehr raus. Wir sind mit einem #LHF auf dem Weg um Technische Hilfe zu leisten.

#112live #112Berlin"
2023-02-11 18:13:49+00:00,84,Twitter for Android,"Wasserschaden in einem Wohngebäude in #Neukölln. Das Wasser läuft in wohl auch in elektrische Anlagen. Ein #LHF der Feuerwache Neukölln zieht sich die Gummistiefel an. 

#112live #Berlin112"
2023-02-11 18:13:42+00:00,55,Twitter for iPhone,"In #Haselhorst wurde uns eine Person, die stark blutet, gemeldet. Ein #RTW des @drk_berlin ist auf der Anfahrt.
#112live #Berlin112"
2023-02-11 18:11:51+00:00,56,Twitter for iPad,"Starke Blutung nach Trauma bei einer männlichen Person in #Mitte. Unsere Partner des @malteserberlin schicken einen #RTW.

#112live #Berlin112"
2023-02-11 18:09:17+00:00,40,Twitter for Android,"Update #Gropiusstadt
Es brannten geringe Mengen Papier in einem Hausflur. Die Einsatzkräfte mussten nicht mehr einschreiten und sind damit wieder einsatzbereit. 
#EstuK

#112live #Berlin112"
2023-02-11 18:06:53+00:00,129,Twitter for iPhone,"In einem Werk in #Haselhorst hat eine Person Verätzungen erlitten. Die #Werkfeuerwehr ist bereits vor Ort. Ein #RTW der #Feuerwache_Spandau ist auf dem Weg zum Einsatzort.
#112live #Berlin112"
2023-02-11 18:02:23+00:00,61,Twitter for iPad,"Ebenfalls in Spandau, diesmal an einem Bahnhof, liegt eine stark alkoholisierte Person. Auch hier ist ein #RTW unterwegs. #112live #Berlin112"
2023-02-11 18:00:39+00:00,63,Twitter for iPad,Stark alkoholisierte und somnolente Person in einem Bus in #Spandau. Ein #RTW aus Spandau ist auf dem Weg. #112live #Berlin112
2023-02-11 18:00:33+00:00,70,Twitter for iPhone,"In #Gropiusstadt wurde uns Brandgeruch aus einem Aufzug in einem Wohngebäude gemeldet. 18 Einsatzkräfte machen sich auf den Weg zum Einsatzort. 
#112live #Berlin112"
2023-02-11 18:00:03+00:00,53,Twitter for iPad,"In einem Reihenhaus hat ein jugendlicher ein #Ohnmachtsanfall erlitten und hat jetzt akute #Kopfschmerzen. Unterwegs ist ein #RTW der #FW_Lichterfelde.

#112live #Berlin112"
2023-02-11 17:56:40+00:00,67,Twitter for iPad,"#Fieberkrampfanfall bei einem Kleinkind in #Hellersdorf. Ein #RTW der #FW_Marzahn befindet sich auf der Anfahrt. 

#112live #Berlin112"
2023-02-11 17:56:19+00:00,51,Twitter for iPhone,"Eine Person klagt über eine Nierenkolik in #Kreuzberg. Ein #RTW wurde alarmiert.
#112live #Berlin112"
2023-02-11 17:56:19+00:00,53,Twitter for iPad,Psychischer Ausnahmezustand in #Alt_Hohenschönhausen bei einer männlichen Person in einem internationalem Fast Food Restaurant. Wir befinden uns auf der Anfahrt. #112live #Berlin112
2023-02-11 17:52:54+00:00,53,Twitter for iPad,"Sturz auf einem Gehweg in #Mitte. Eine männliche Person benötigt medizinische Hilfe. Der #RTW ist auf dem Weg.

#112live #Berlin112"
2023-02-11 17:51:55+00:00,51,Twitter for iPhone,"#Anhaltender_Krampfanfall in #Heinersdorf. Ein #RTW des @malteserberlin und ein #NEF sind auf der Anfahrt.
#112live #Berlin112"
2023-02-11 17:51:16+00:00,67,Twitter for iPad,"Weibliche Person, Sturz im Bad. Unsere Kräfte erkunden die Lage auf der Einsatzstelle in #Kreuzberg. #112live #Berlin112"
2023-02-11 17:47:11+00:00,57,Twitter for iPhone,"#Atemnot in #Lichtenberg. Wir sind mit einem #RTW des @ASBinBerlin und einem #NEF auf dem Weg zum Einsatzort.
#112live #Berlin112"
2023-02-11 17:46:48+00:00,78,Twitter for iPad,"In #Neukölln leuchtet eine Hilfe-Lampe an einem öffentlichen WC. Wir schauen mal nach, was da passiert ist. #112live #Berlin112"
2023-02-11 17:44:37+00:00,91,Twitter for iPad,"Sturz im öffentlichen Raum, männliche Person liegt in der Einfahrt eines internationalen Fast Food Restaurants. Nach #Reinickendorf rücken unsere Kräfte aus. #112live #Berlin112"
2023-02-11 17:42:51+00:00,53,Twitter for iPad,"Der #RTW und ein #NEF der #FW_Lichtenberg fahren zu einer männlichen Person mit Atemnot in #Friedrichshain.

#112live #Berlin112"
2023-02-11 17:40:34+00:00,67,Twitter for iPhone,"Herzbeschwerden mit Bewusstseinseintrübung in #Staaken. Die alarmierten Einsatzkräfte sind bereits auf dem Weg.
#112live #Berlin112"
2023-02-11 17:38:21+00:00,51,Twitter for iPad,Sturz einer Radfahrerin in #Friedrichshain. Die Kräfte des @ASBinBerlin rücken mit einem #RTW aus. #112live #Berlin112
2023-02-11 17:37:02+00:00,57,Twitter for iPad,Eine weibliche Person mit einer Überdosis in #Kreuzberg. Der #RTW der #Feuerwache_Urban rückt aus. #112live #Berlin112
2023-02-11 17:36:54+00:00,52,Twitter for iPhone,"In #Wilmersdorf wurde uns ein Kleinbrand im Freien gemeldet. Ein #LHF ist schon auf dem Weg. 
#112live #Berlin112"
2023-02-11 17:34:25+00:00,87,Twitter for iPad,In #Adlershof werden wir zu einem #Brand gerufen. Mehrere Fahrzeuge sind auf der Anfahrt. Wir erkunden die Einsatzstelle.#112live #Berlin112
2023-02-11 17:31:42+00:00,60,Twitter for Android,"In einem #Kreuzberger Wohnhaus ist eine Person bewußtlos zusammengebrochen und benötigt dringend medizinische Hilfe. Auch hier sind ein #RTW und ein #NEF unterwegs. 

#112live #Berlin112"
2023-02-11 17:30:46+00:00,67,Twitter for iPhone,"In #Schöneberg klagt eine Person über starke Brustschmerzen und Atemnot. Ein #RTW und ein #NEF befinden sich bereits auf der Anfahrt.
#112live #Berlin112"
2023-02-11 17:28:52+00:00,64,Twitter for Android,"Sturzverletzung in #Kreuzberg. Person hat starke Schmerzen. Ein #RTW der Feuerwache Kreuzberg ist auf dem Weg um zu helfen.

#112live #Berlin112"
2023-02-11 17:25:51+00:00,58,Twitter for iPhone,"Eine Person ist in #Friedrichsfelde beim Volleyball gestürzt und benötigt medizinische Hilfe. Ein #RTW ist unterwegs.
#112live #Berlin112"
2023-02-11 17:24:44+00:00,65,Twitter for iPad,"In #Hakenfelde kann eine weibliche Person nicht mehr aus eigener Kraft die Tür öffnen. Wir öffnen die Tür, ein #LHF und ein #RTW sind auf dem Weg. #112live #Berlin112"
2023-02-11 17:23:13+00:00,72,Twitter for iPad,Eine männliche Person ist aus Versehen stark alkoholisiert in #Reinickendorf unterwegs. Ein #RTW ist bereits auf der Anfahrt und schaut sich das mal an. #112live #Berlin112
2023-02-11 17:21:26+00:00,47,Twitter for iPhone,"In einem Bahnhof in #Friedrichshain klagt eine Person über Atembeschwerden. Ein #RTW der @JUHBerlin ist bereits auf der Anfahrt.
#112live #Berlin112"
2023-02-11 17:19:39+00:00,50,Twitter for iPad,In #Tiergarten befindet sich eine verletzte Person nach Körperverletzung. Der #RTW der @bundeswehrInfo ist auf der Anfahrt. #112live #Berlin112
2023-02-11 17:18:30+00:00,66,Twitter for iPhone,"Eine Person ist in der eigenen Wohnung in #Schmargendorf gestürzt und kann die Tür nicht mehr öffnen. Wir sind mit einem #LHF und einem #RTW auf der Anfahrt.
#112live #Berlin112"
2023-02-11 17:15:39+00:00,66,Twitter for iPad,Alkoholisierte Person stürzt auf dem Gehweg in #Neukölln. Wir schauen uns das mal genauer an. #RTW ist auf dem Weg. #112live #Berlin112
2023-02-11 17:12:40+00:00,62,Twitter for iPad,Konfettikanone abgeschossen und Ohr getroffen. Ein #RTW ist daher auf dem Weg zu einem Einkaufszentrum in #Köpenick. #112live #Berlin112
2023-02-11 17:10:59+00:00,51,Twitter for iPad,Zustand nach Hundebiss. In #Tempelhof wurde ein männliche Person von einem Hund gebissen. Ein #RTW eilt zur Hilfe. #112live #Berlin112
2023-02-11 17:08:08+00:00,49,Twitter for iPhone,"Sportverletzung in einer Sporthalle in #Friedrichshain. Ein #RTW ist auf dem Weg.
#112live #Berlin112"
2023-02-11 17:07:20+00:00,64,Twitter for iPad,"Ein stehengebliebener #Aufzug in #Gesundbrunnen. Mehrere Personen sind eingeschlossen. #LHF der #FW_Prenzlauerberg ist unterwegs um die Personen zu retten.

#112live #Berlin112"
2023-02-11 17:05:43+00:00,54,Twitter for iPhone,"Starke Brustschmerzen bei einer Person in #Lichterfelde. Die Einsatzkräfte sind bereits auf dem Weg.
#112live #Berlin112"
2023-02-11 17:03:26+00:00,52,Twitter for iPad,"Am Haupteingang eines Behördengebäudes hat sich eine Person mit einer Verletzung eingefunden. Wir schicken einen #RTW von der @JUHBerlin in #Schöneberg zur Einsatzstelle.

#112live #Berlin112"
2023-02-11 17:00:26+00:00,85,Twitter for iPhone,"In einem Hausflur eines Wohngebäudes in #Moabit wurde uns ein #Kreislaufstillstand gemeldet. Wir sind mit einem #LHF, einem #RTW und einem #NEF auf dem Weg zum Einsatzort. Zeitgleich erfolgte die Alarmierung über #Katretter 
#112live #Berlin112"
2023-02-11 16:57:03+00:00,62,Twitter for iPad,"Auch in #Wittenau ist eine weibliche Person im Treppenhaus gestürzt und hat sich verletzt. Zur #Hilfe eilt einen #RTW der #FW_Tegel 

#112live #Berlin112"
2023-02-11 16:55:33+00:00,53,Twitter for iPhone,"Eine Person in #Wilmersdorf erlitt eine Fraktur und benötigt nun medizinische Hilfe. Ein #RTW des @drk_berlin ist auf dem Weg zur Einsatzadresse.
#112live #Berlin112"
2023-02-11 16:55:31+00:00,50,Twitter for iPad,"In einem Treppenhaus in #Lichtenrade ist eine ältere Dame gestürzt und hat sich #Verletzungen zugezogen. #RTW aus #Marienfelde ist unterwegs um zu helfen.

#112live #Berlin112"
2023-02-11 16:53:07+00:00,75,Twitter for iPad,"#Hyptertone_Kriese bei einer weiblichen Person in einer Wohnung im #Wedding. Ein #RTW der #FW_Wittenau ist unterwegs um zu helfen.

#112live #Berlin112"
2023-02-11 16:50:27+00:00,38,Twitter for Android,"Update #Kladow
Es handelt sich um einen Fehlalarm durch technischn Defekt in einer Brandmeldeanlage. Die Kräfte rücken wieder ab. 
#EstuK

#112live #Berlin112"
2023-02-11 16:49:28+00:00,76,Twitter for iPhone,Bei einer Person in #Kreuzberg haben die Wehen eingesetzt. Ein #RTW der @JUHBerlin ist auf dem Weg dorthin. #112live #Berlin112
2023-02-11 16:48:27+00:00,49,Twitter for iPad,"#Sturzverletzung am Eingang eines #Einkaufszentrum im #Märkisches_Viertel. Unterwegs ist ein #RTW der #FW_Wittenau.

#112live #Berlin112"
2023-02-11 16:47:05+00:00,57,Twitter for iPhone,In einer Wohnung in #Westend wird ein Unglücksfall vermutet. Ein #LHF und ein #RTW sind auf dem Weg dorthin.
2023-02-11 16:45:49+00:00,66,Twitter for iPhone,"In #Marzahn erlitt eine Person einen #Schlaganfall. Sie kann von alleine nicht mehr die Wohnungstür öffnen. Wir sind mit einem #LHF, einem #RTW und einem #Stemo auf dem Weg zur Einsatzadresse.
#112live #Berlin112"
2023-02-11 16:44:31+00:00,51,Twitter for iPad,Männliche Person hat Schwächeanfall auf Gehweg in #Kreuzberg. Unterwegs ist ein #RTW der #Feuerwache_Mitte. #112live #Berlin112
2023-02-11 16:39:04+00:00,58,Twitter for iPhone,In einer Bankfiliale in Wedding ist eine Person zusammengebrochen. Ein #RTW ist auf dem Weg zur Einsatzadresse.
